SubCat,Headlines
/issues/nominations-appointments,"[u'On Fox, J. Christian Adams Attacks Attorney General Nominee\'s ""Racial Views"" On Voter ID']"
/issues/nominations-appointments,"[u'Right-Wing Media Pretend Well-Qualified Attorney General Nominee Is A Partisan ""Radical""']"
/issues/nominations-appointments,"[u""Breitbart's Attack On Obama Attorney General Nominee Goes After The Wrong Loretta Lynch""]"
/issues/nominations-appointments,"[u'Appointment Of Ron Klain As Ebola ""Czar"" Draws The Wrath Of Conservative Media']"
/issues/nominations-appointments,"[u""O'Reilly Ignores Health Care Experts To Lecture CDC's Dr. Tom Frieden On Why U.S. Needs A Travel Ban To Control Ebola""]"
/issues/nominations-appointments,"[u""After Smearing Surgeon General Nominee, Fox Wonders Why There Isn't A Surgeon General To Deal With Ebola""]"
/issues/nominations-appointments,"[u'Fox\'s Tantaros: Eric Holder Runs The Justice Department ""Like The Black Panthers Would""']"
/issues/nominations-appointments,"[u'Fox Turns To New Black Panthers Fabulist To Argue ""Eric Holder Cannot Be Trusted"" To Investigate Michael Brown Shooting']"
/issues/nominations-appointments,"[u'Fox\'s Bolling Doubts Eric Holder Can ""Be Fair And Balanced"" On ""A Race Case"" Like Michael Brown Shooting']"
/issues/nominations-appointments,"[u""Watch Fox Host Megyn Kelly Laugh At Discredited Author Ed Klein's Anti-Clinton Book""]"
/issues/nominations-appointments,"[u""5 Conservative Media Traps To Avoid During SCOTUS' Last Week""]"
/issues/nominations-appointments,[u'Spot The Difference Between The Criminal Defense Attorney NRO Supported And The One It Attacked']
/issues/nominations-appointments,"[u""Fox's Tantaros: Kathleen Sebelius Was Obama's Human Shield""]"
/issues/nominations-appointments,[u'What The Media Should Know About Those New Judicial Confirmation Numbers']
/issues/nominations-appointments,"[u""It's Actually Right-Wing Media Who Want To Get Between You And Your Doctor""]"
/issues/nominations-appointments,"[u'UPDATED: NRA\'s Newest Smear On Surgeon General Nominee: ""Doctors Are A Lot More Dangerous Than Gun Owners""']"
/issues/nominations-appointments,[u'Fever Pitch: Fox Continues Smear Campaign Against Surgeon General Nominee']
/issues/nominations-appointments,"[<em>Businessweek </em>, u'Uses Obama Surgeon General Nominee To Advance Media Myth Of NRA Electoral Dominance']"
/issues/nominations-appointments,"[<em>NY Times</em>, u' Privileges Right-Wing Media\'s ""Anti-Gun"" Smear Of Obama Surgeon General Nominee']"
/issues/nominations-appointments,"[u'Right-Wing Media Claims Surgeon General Nominee Has ""Anti-Gun"" Agenda Based On Comments He Made As A Teenager']"
/issues/nominations-appointments,[u'What Conservatives Get Wrong In Their Smear Campaign Against The Surgeon General Nominee']
/issues/nominations-appointments,"[<em>WSJ</em>, u'\'s Jason Riley Commends Senate For Rejecting DOJ Nominee Adegbile, A ""Race Baiter"" Like Obama And Holder']"
/issues/nominations-appointments,"[u""Fox News Can't Tell All These Civil Rights Attorneys Apart""]"
/issues/nominations-appointments,"[u""Fox's Fact-Free Attempt To Distinguish Between DOJ Nominee Debo Adegbile And Chief Justice Roberts""]"
/issues/nominations-appointments,[u'Fox Hosts Right-Wing Activist J. Christian Adams To Push Debunked Smears Of DOJ Nominee']
/issues/nominations-appointments,"[u""Right-Wing Media's Eleventh-Hour Smear Of Civil Rights Nominee Shows They Have Nothing""]"
/issues/nominations-appointments,[u'How Marco Rubio Made A Federal Judge Nomination National News']
/issues/nominations-appointments,"[u'Leading Civil Rights Groups Condemn Right-Wing Media\'s Lies And ""Racially Charged Rhetoric"" Aimed At Obama\'s DOJ Nominee']"
/issues/nominations-appointments,"[<em>Washington Times</em>, u"" Runs Charged Caricature To Smear Obama's Civil Rights Nominee""]"
/issues/nominations-appointments,[u'Myths And Facts About DOJ Civil Rights Nominee Debo Adegbile']
/issues/nominations-appointments,"[u""Fox's Report On Judicial Emergencies Doesn't Mention They're Caused By Republicans""]"
/issues/nominations-appointments,"[u'There Are ""No Vacancies"" On The D.C. Circuit And Other Right-Wing Myths']"
/issues/nominations-appointments,"[u'Working Moms\' Family Planning Is ""Extreme"" And ""Radical"": Right-Wing Attacks On Judicial Nominee Jump to Fox']"
/issues/nominations-appointments,[u'Right-Wing Media Use Filibuster Reform As Excuse To Block Immigration Reform']
/issues/nominations-appointments,"[u""NRO: Unprecedented Obstructionism Wasn't So Bad""]"
/issues/nominations-appointments,"[u""Jennifer Rubin's Zany Benghazi Angle To Filibuster Reform""]"
/issues/nominations-appointments,"[u'Limbaugh Has A Meltdown Over The ""Nuclear Option""']"
/issues/nominations-appointments,[u'Right-Wing Media Myths About Filibuster Reform Make The Jump To CNN']
/issues/nominations-appointments,"[u'Limbaugh On Filibuster Reform: If Obama Wants To Nominate Bashar Asaad As A Judge, ""There\'s No Stopping Him""']"
/issues/nominations-appointments,[u'NRO Warns That Filibuster Reform Will Bring About Right-Wing Jurists. Too Late.']
/issues/nominations-appointments,[u'CNN Buys Into Right-Wing Myths About D.C. Circuit And Filibuster Reform']
/issues/nominations-appointments,"[<em>Wash. Times</em>, u': Criticizing Blanket Republican Obstruction Of Obama Nominees Is Playing The ""Race Card""']"
/issues/nominations-appointments,[u'Media Guide To The Nuclear Option: How Republican Obstructionism Got Us Here']
/issues/nominations-appointments,[u'This Is How Right-Wing Media Start Their Inevitable Race-Baiting Of Certain Presidential Nominees']
/issues/nominations-appointments,"[u'On Eve Of Another Republican Filibuster, ', <em>National Review</em>, u""'s Ponnuru Falsely Accuses Democrats Of Court-Packing""]"
/issues/nominations-appointments,"[u'Negative Effects From ', <em>60 Minutes</em>, u""' Failed Benghazi Story Continue""]"
/issues/nominations-appointments,[u'How To Write About D.C. Circuit Nominee Cornelia Pillard']
/issues/nominations-appointments,"[u""Fox: Second-Most Important Court In The U.S. Probably Doesn't Need All Those Judges Anyway""]"
/issues/nominations-appointments,"[u""Fox Column Shrugs Off Unprecedented Obstruction Of Obama's Judicial Nominees""]"
/issues/nominations-appointments,"[u'Back From Break, Back To Obstruction: Right-Wing Media Again Agitating Against D.C. Circuit Nominees']"
/issues/nominations-appointments,"[u'The ', <em>Wall Street Journal's</em>, u"" Hypocritical Opposition To Obama's Judicial Vacancies""]"
/issues/nominations-appointments,[u'The Retrograde Right-Wing Media Campaign Against Judicial Nominee Cornelia Pillard']
/issues/nominations-appointments,"[u""Fox News Joins NRO's Smear Campaign Against Cornelia Pillard""]"
/issues/nominations-appointments,"[u""NRO's Hypocritical, Sexist Attack On A Qualified Judicial Nominee""]"
/issues/nominations-appointments,"[<em>WSJ </em>, u""Stops Pretending Its Calls For Obstructionism Were About The Nominees' Qualifications""]"
/issues/nominations-appointments,[u'Fox News Ignores Unprecedented Senate Obstruction Of Consumer Financial Protection Chief']
/issues/nominations-appointments,[u'How The Media Helped Republicans Break The Senate']
/issues/nominations-appointments,"[u""Fox News Can't Quit Misinforming On Pending Filibuster Reform""]"
/issues/nominations-appointments,"[u""Fox News Warns Filibuster Reform Will Break The Senate, Ignores The Fact It's Already Broken""]"
/issues/nominations-appointments,"[u'Fox News Renews Its Opposition To Filibuster Reform By Pretending It\'s All About ""Payoff For Unions""']"
/issues/nominations-appointments,"[u'On ', <em>Fox News Sunday</em>, u', Mary Matalin Dismisses Susan Rice As ""A Presidential Pet""']"
/issues/nominations-appointments,"[u'Filibuster Reform Has Right-Wing Media Frantically Condemning Judicial ""Power Play""']"
/issues/nominations-appointments,"[u""Right-Wing Media Call Susan Rice's Elevation To National Security Advisor An Insult To America""]"
/issues/nominations-appointments,"[<em>WSJ </em>, u'Urges GOP To Obstruct Obama Judicial Nominees With Filibuster']"
/issues/nominations-appointments,"[u""Why Fox Just Can't Make The Benghazi Talking Points A Thing""]"
/issues/nominations-appointments,[u'Fox Defends Harmful Austerity In Attempt To Torpedo Another Potential Obama Nominee']
/issues/nominations-appointments,"[<em>Wash. Times</em>, u' Lazily Parrots GOP Misinformation On D.C. Circuit Vacancies']"
/issues/nominations-appointments,"[<em>WSJ</em>, u'\'s Latest Frivolous Cry For Opposing Obama Nominee Demonstrates Need For ""Nuclear Option""']"
/issues/nominations-appointments,"[<em>WSJ</em>, u' Supports Dismantling Federal Court In Order To Block Obama Nominees']"
/issues/nominations-appointments,"[<em>WSJ</em>, u' Bureau Chief vs. ', <em>WSJ</em>, u' Editorial Board On GOP Obstruction']"
/issues/nominations-appointments,"[<em>WSJ</em>, u"" Cheers Appellate Court Decision That Allows Businesses To Hide Workers' Rights""]"
/issues/nominations-appointments,"[u'Legal Experts Debunk Right-Wing Media Accusations Of Labor Nominee\'s ""Shady Quid Pro Quo""']"
/issues/nominations-appointments,"[<em>WSJ</em>, u' Attempts to Pin Labor Nominee Perez With Myth That Government Caused Housing Crisis']"
/issues/nominations-appointments,"[<em>WSJ</em>, u': GOP\'s Only Reason To Confirm Obama Labor Nominee Is His ""Spanish Surname""']"
/issues/nominations-appointments,"[u'Another Obama Nominee With Civil Rights Enforcement Experience, Another Round Of Race-Baiting Smears']"
/issues/nominations-appointments,"[<em>WSJ</em>, u' Flips History On Its Head To Pretend EPA Has Been Lawless Under Obama Administration']"
/issues/nominations-appointments,[u'Networks Remain Silent On D.C. Circuit Court Crisis As Another Possible Filibuster Approaches']
/issues/nominations-appointments,"[u'NRO Falsely Accuses Nominee Perez Of A ""Double Standard"" For Lack of Conservatives in Civil Rights Division']"
/issues/nominations-appointments,"[u'Fox Continues To Mix ""Racial Hostility"" Smear Against Nominee Perez With Ignorance Of Voting Rights Act']"
/issues/nominations-appointments,[u'Rush Limbaugh Vs. Republican Rebranding']
/issues/nominations-appointments,"[<em>WSJ</em>, u' Pushes Smear About Nominee Perez\'s Supposed ""Shady"" Deal To Withdraw Supreme Court Case']"
/issues/nominations-appointments,[u'UPDATED: Myths And Facts About Labor Nominee Thomas Perez']
/issues/nominations-appointments,[u'Fox News Botches Voting Rights Act In Attack On Nominee Perez']
/issues/nominations-appointments,"[u""That Didn't Take Long: Right-Wing Media Revive Perjury Smears Against Perez Labor Nomination""]"
/issues/nominations-appointments,[u'Fox Attacks Possible Secretary Of Labor Nominee For Supporting Non-Discrimination Policies']
/issues/nominations-appointments,[u'Fox Uses Labor Secretary News To Revive New Black Panthers Nonsense']
/issues/nominations-appointments,"[u""Peggy Noonan Denies GOP Efforts To Nullify President's Agenda, Ignores The Evidence""]"
